,classifier,cls_encoding,AUC,#event columns,#case columns,#control columns,pars. event,pars. case,pars. control,perc_pars_event,perc_pars_case,perc_pars_control,FC event,FC_case,FC control,monotonicity,LOD
45,XGB,agg,93.71,87,34,314,62.0,20.0,44.0,71.26,58.82,14.01,22.44,4.13,85.59,0.81,2.83
48,CNN,embeddings,93.72,11,18,1,11.0,1.0,1.0,100.0,5.56,100.0,0.01,0.01,0.02,-0.2,3.61
44,GLRM,agg,93.75,87,34,314,1.0,1.0,7.0,1.15,2.94,2.23,0.0,0.0,89.8,0.71,3.74
47,LSTM,embeddings,94.56,11,18,1,11.0,1.0,1.0,100.0,5.56,100.0,0.02,0.01,0.02,0.43,0.0
43,LLM,agg,95.92,87,34,314,85.0,33.5,283.0,97.7,98.53,90.13,41.8,2.19,57.11,0.57,5.1
46,RF,agg,96.0,87,34,314,84.0,33.0,278.0,96.55,97.06,88.54,16.72,3.05,81.89,0.36,9.9
42,LR,agg,96.13,87,34,314,25.0,22.0,54.0,28.74,64.71,17.2,0.0,0.0,0.0,0.11,3.74
