iter;dataset;cls;method;param;value;score
1;bpic2015_1_f2;LR;all_agg;C;13.47466713835983;0.3011091944483963
1;bpic2015_1_f2;LR;all_agg;0
1;bpic2015_1_f2;LR;all_agg;C;13.47466713835983;0.6166403284101215
1;bpic2015_1_f2;LR;all_agg;0
1;bpic2015_1_f2;LR;all_agg;C;13.47466713835983;0.9211181682887518
1;bpic2015_1_f2;LR;all_agg;0
2;bpic2015_1_f2;LR;all_agg;C;-4.072061036731284;0.3028289546482035
2;bpic2015_1_f2;LR;all_agg;0
2;bpic2015_1_f2;LR;all_agg;C;-4.072061036731284;0.6192088461077865
2;bpic2015_1_f2;LR;all_agg;0
2;bpic2015_1_f2;LR;all_agg;C;-4.072061036731284;0.9245963382443504
2;bpic2015_1_f2;LR;all_agg;0
3;bpic2015_1_f2;LR;all_agg;C;-8.11101849841053;0.31047377135992166
3;bpic2015_1_f2;LR;all_agg;0
3;bpic2015_1_f2;LR;all_agg;C;-8.11101849841053;0.6209247853559228
3;bpic2015_1_f2;LR;all_agg;0
3;bpic2015_1_f2;LR;all_agg;C;-8.11101849841053;0.9257466235581046
3;bpic2015_1_f2;LR;all_agg;0
4;bpic2015_1_f2;LR;all_agg;C;-12.160878208535566;0.16666666666666666
4;bpic2015_1_f2;LR;all_agg;0
4;bpic2015_1_f2;LR;all_agg;C;-12.160878208535566;0.3333333333333333
4;bpic2015_1_f2;LR;all_agg;0
4;bpic2015_1_f2;LR;all_agg;C;-12.160878208535566;0.5
4;bpic2015_1_f2;LR;all_agg;0
